sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;command;
1589347311;254675;1589347311;255924;1589347311;254675;0;
1589347311;261403;1589347311;261418;1589347311;261403;0;
1589347311;267952;1589347311;267967;1589347311;267952;4;
1589347311;274403;1589347311;274419;1589347311;274403;0;
1589347311;281250;1589347311;281265;1589347311;281250;0;
1589347311;288754;1589347311;288771;1589347311;288754;0;
1589347311;295983;1589347311;295999;1589347311;295983;4;
1589347311;303305;1589347311;303322;1589347311;303305;0;
1589347311;309940;1589347311;309956;1589347311;309940;0;
1589347311;316707;1589347311;316722;1589347311;316707;0;
1589347311;323028;1589347311;323044;1589347311;323028;4;
1589347311;329450;1589347311;329466;1589347311;329450;0;
1589347311;335726;1589347311;335742;1589347311;335726;0;
1589347311;342069;1589347311;342085;1589347311;342069;0;
1589347311;349233;1589347311;349248;1589347311;349233;4;
1589347311;355376;1589347311;355391;1589347311;355376;0;
1589347311;361794;1589347311;361812;1589347311;361794;0;
1589347311;368924;1589347311;368939;1589347311;368924;0;
1589347311;375290;1589347311;375305;1589347311;375290;4;
1589347311;381649;1589347311;381666;1589347311;381649;0;
1589347311;388444;1589347311;388460;1589347311;388444;0;
1589347311;395333;1589347311;395349;1589347311;395333;0;
1589347311;402105;1589347311;402121;1589347311;402105;4;
1589347311;408629;1589347311;408646;1589347311;408629;0;
1589347311;415287;1589347311;415303;1589347311;415287;0;
1589347311;421629;1589347311;421644;1589347311;421629;0;
1589347311;428001;1589347311;428017;1589347311;428001;4;
1589347311;434999;1589347311;435014;1589347311;434999;0;
1589347311;441930;1589347311;441947;1589347311;441930;0;
1589347311;448970;1589347311;448987;1589347311;448970;0;
1589347311;456634;1589347311;456652;1589347311;456634;4;
1589347311;464103;1589347311;464119;1589347311;464103;0;
1589347311;470431;1589347311;470446;1589347311;470431;0;
1589347311;477011;1589347311;477027;1589347311;477011;0;
1589347311;483717;1589347311;483733;1589347311;483717;4;
1589347311;490937;1589347311;490952;1589347311;490937;0;
1589347311;510299;1589347311;510316;1589347311;510299;0;
1589347311;518400;1589347311;518415;1589347311;518400;0;
1589347311;524525;1589347311;524540;1589347311;524525;4;
1589347311;536200;1589347311;536215;1589347311;536200;0;
1589347311;542601;1589347311;542616;1589347311;542601;0;
1589347311;548981;1589347311;548996;1589347311;548981;0;
1589347311;555327;1589347311;555342;1589347311;555327;4;
1589347311;561684;1589347311;561702;1589347311;561684;0;
